id,property_type,room_type,bathrooms,bedrooms,minimum_nights,price(in $)
148769,Apartment,Entire home/apt,1,1,30,115
150347,Apartment,Entire home/apt,1,2,30,148
150848,Townhouse,Private room,1,1,3,75
162934,Apartment,Entire home/apt,1,1,1,149
164207,House,Private room,1,1,5,69
166199,Guesthouse,Entire home/apt,1,1,30,220
166771,Apartment,Entire home/apt,1,1,30,185
175090,Apartment,Entire home/apt,1,0,30,110
175102,Apartment,Entire home/apt,1,0,30,135
176274,House,Private room,1,1,30,37
177137,Apartment,Entire home/apt,1,2,30,135
183859,Apartment,Entire home/apt,1,2,3,220
187730,Apartment,Private room,2,1,29,75
189068,Apartment,Private room,1.5,1,2,90
189894,Apartment,Entire home/apt,1,1,5,150
191632,Guest suite,Entire home/apt,1,1,2,138
199480,Apartment,Private room,1.5,1,6,80
201313,Condominium,Entire home/apt,1,1,30,182
201579,Apartment,Entire home/apt,1.5,1,30,136
206566,House,Shared room,2.5,1,30,30
206634,House,Shared room,2.5,1,30,30
206637,House,Shared room,2.5,1,30,30
207980,House,Entire home/apt,1,3,2,295
208727,Apartment,Private room,2.5,1,30,79
208831,Guest suite,Entire home/apt,1,1,3,165
209514,House,Private room,2,1,1,92
212265,Condominium,Entire home/apt,2,2,5,178
212783,House,Private room,2,1,1,98
213532,House,Private room,2,1,1,78
213854,Apartment,Entire home/apt,2,3,30,325
216042,House,Entire home/apt,1,1,5,147
216064,House,Private room,2,1,2,75
217106,Apartment,Entire home/apt,1,0,30,110
220418,House,Private room,2,1,1,78
221342,Condominium,Private room,2.5,1,2,139
224579,House,Entire home/apt,1,1,2,145
225933,Apartment,Private room,1,1,3,99
226594,Apartment,Private room,0.5,1,1,120
229240,Hostel,Shared room,null,1,1,45
229319,Apartment,Entire home/apt,1,1,30,135
231129,Townhouse,Entire home/apt,4,4,2,989
231752,Apartment,Entire home/apt,1,1,30,250
232060,Guest suite,Entire home/apt,1,1,30,99
238190,Condominium,Private room,1,1,2,99
238204,Guest suite,Entire home/apt,1,1,3,135
241235,Hostel,Shared room,0,1,1,45
242008,Apartment,Entire home/apt,1,1,3,160
244361,Apartment,Entire home/apt,1,2,30,135
245339,Condominium,Entire home/apt,1,1,30,136
252867,Condominium,Entire home/apt,1,3,6,280
256148,Condominium,Private room,1,1,1,139
256176,Guest suite,Private room,1,1,2,100
258873,Apartment,Private room,1,1,2,89
259621,Hostel,Shared room,null,1,1,45
259622,Hostel,Shared room,null,1,1,45
259919,Apartment,Entire home/apt,1,1,30,114
